Time,O1,H1,L1,C1,V1,O2,H2,L2,C2,V2
2019-01-04 01:50:00 +0800 +08,144.85,144.9,144.79,144.82,24328.7513154,145,145.03,144.91,145.03,12132.966583000001
2019-01-04 01:51:00 +0800 +08,144.84,144.87,144.8,144.86,13814.7565311,144.95,145.02,144.94,144.99,11743.395574
2019-01-04 01:52:00 +0800 +08,144.86,144.9,144.83,144.9,17352.6323138,144.99,144.99,144.95,144.98,3157.8208729999997
2019-01-04 01:53:00 +0800 +08,144.91,145,144.86,144.94,15043.295233099998,144.99,145.05,144.99,145.05,10975.441625
2019-01-04 01:54:00 +0800 +08,144.94,144.99,144.92,144.98,23153.250454100005,145.06,145.09,145.02,145.02,11136.273025
2019-01-04 01:55:00 +0800 +08,144.98,144.98,144.94,144.94,21667.761451900005,145.09,145.1,145.03,145.07,8868.453166
2019-01-04 01:56:00 +0800 +08,144.95,145.01,144.94,144.97,29067.121523700003,145.06,145.08,145.01,145.07,11608.83437
2019-01-04 01:57:00 +0800 +08,145.02,145.08,144.97,144.97,25032.2915037,145.07,145.13,145.07,145.07,9578.462279
2019-01-04 01:58:00 +0800 +08,144.98,144.98,144.91,144.92,13831.164796499996,145.07,145.07,145.03,145.03,8351.273718999999
2019-01-04 01:59:00 +0800 +08,144.92,145,144.53,144.59,24443.930194,145.02,145.06,144.78,144.78,15833.493746
2019-01-04 02:00:00 +0800 +08,144.65,144.7,144.45,144.65,20930.2471629,144.8,144.84,144.7,144.78,8667.440582000001
2019-01-04 02:01:00 +0800 +08,144.62,144.68,144.47,144.5,12542.882782499997,144.77,144.77,144.62,144.63,6694.211247999999
2019-01-04 02:02:00 +0800 +08,144.51,144.57,144.42,144.48,19959.900682000003,144.7,144.7,144.51,144.58,10844.861841000002
2019-01-04 02:03:00 +0800 +08,144.51,144.51,144.4,144.42,20958.372269299995,144.56,144.56,144.55,144.56,7442.239111
2019-01-04 02:04:00 +0800 +08,144.42,144.45,144.2,144.45,23133.256981099992,144.56,144.56,144.43,144.55,11261.436894
2019-01-04 02:05:00 +0800 +08,144.44,144.45,144.31,144.42,15357.554207899999,144.55,144.55,144.47,144.51,5225.754867
2019-01-04 02:06:00 +0800 +08,144.31,144.37,144.23,144.24,14863.343602400004,144.46,144.5,144.39,144.41,6538.270029000001
2019-01-04 02:07:00 +0800 +08,144.2,144.2,144,144.07,31162.1355178,144.42,144.42,144.16,144.23,24854.644761
2019-01-04 02:08:00 +0800 +08,144.09,144.16,143.67,143.79,18972.007719100002,144.21,144.39,143.99,143.99,25670.927429999996
2019-01-04 02:09:00 +0800 +08,143.79,143.92,143.53,143.81,27854.9701811,143.99,144.19,143.83,144.04,28991.505564000006
2019-01-04 02:10:00 +0800 +08,143.8,144.03,143.77,144.03,19076.856960999994,144.04,144.22,144.04,144.2,12932.792854
2019-01-04 02:11:00 +0800 +08,144.07,144.29,143.96,144.29,20284.581507200004,144.21,144.46,144.2,144.4,7219.354411000001
2019-01-04 02:12:00 +0800 +08,144.3,144.36,144.22,144.31,21724.097102999996,144.47,144.5,144.43,144.5,10848.089168999999
2019-01-04 02:13:00 +0800 +08,144.3,144.36,144.04,144.15,16804.286569,144.5,144.54,144.3,144.31,15967.451142999998
2019-01-04 02:14:00 +0800 +08,144.17,144.24,144.04,144.2,12510.138761499999,144.32,144.37,144.28,144.36,7854.804481
2019-01-04 02:15:00 +0800 +08,144.22,144.22,144,144,16257.032145099998,144.35,144.36,144.2,144.21,12747.146709000002
